Incorrect Sentence,Correct Sentence
Can't believe... leaving so soon.,I can't believe you're leaving so soon.
"The car is available in three colors... red, blue, and green.","The car is available in three colors: red, blue, and green."
The movie was great... best I've seen in a while.,The movie was great; it's the best I've seen in a while.
...is not the way to handle this problem.,That is not the way to handle this problem.
...think we should take a break.,I think we should take a break.
The cake was delicious... ate too much.,"The cake was delicious, but I ate too much."
He's a doctor... also a talented musician.,He's a doctor and also a talented musician.
She loves to travel... visited over 20 countries.,She loves to travel and has visited over 20 countries.
My favorite ice cream flavors are... chocolate and vanilla.,My favorite ice cream flavors are chocolate and vanilla.
The team worked hard... completed the project on time.,The team worked hard and completed the project on time.
The city is beautiful... especially in the spring.,"The city is beautiful, especially in the spring."
I enjoy reading books... history and science fiction.,I enjoy reading books about history and science fiction.
The restaurant was packed... had to wait for a table.,"The restaurant was packed, so we had to wait for a table."
The weather was terrible... flight got delayed.,"The weather was terrible, and our flight got delayed."
Didn't expect... see you here.,I didn't expect to see you here.
The game was intense... went into overtime.,The game was intense and went into overtime.
I tried calling her... didn't answer the phone.,"I tried calling her, but she didn't answer the phone."
The concert was amazing... loved every minute of it.,"The concert was amazing, and I loved every minute of it."
He studied for weeks... failed the exam.,He studied for weeks but still failed the exam.
The new software is easy to use... efficient.,The new software is easy to use and efficient.
The meeting went well... discussed important topics.,The meeting went well because we discussed important topics.
She's allergic to peanuts... has to be careful.,"She's allergic to peanuts, so she has to be careful."
The book is long... very interesting.,The book is long but very interesting.
The food was delicious... took a long time to arrive.,"The food was delicious, but it took a long time to arrive."
I love coffee... only drink it in the morning.,"I love coffee, but I only drink it in the morning."
The new policy is unpopular... likely to change.,The new policy is unpopular and is likely to change.
The house was beautiful... needed a lot of work.,"The house was beautiful, but it needed a lot of work."
It's a beautiful day... let's go for a walk.,"It's a beautiful day, so let's go for a walk."
The test was difficult... managed to pass.,"The test was difficult, but I managed to pass."
The dog was friendly... barked loudly.,"The dog was friendly, but it barked loudly."
The presentation was informative... a bit boring.,"The presentation was informative, but it was a bit boring."
The interview went well... got the job.,"The interview went well, and I got the job."
The recipe is simple... requires few ingredients.,The recipe is simple and requires few ingredients.
He's a great actor... not in many movies.,"He's a great actor, but he's not in many movies."
The weather is nice... perfect for a picnic.,"The weather is nice, making it perfect for a picnic."
The beach was crowded... had a great time.,"The beach was crowded, but we still had a great time."
The food was spicy... enjoyed it.,"The food was spicy, but I enjoyed it."
The project is challenging... making good progress.,"The project is challenging, but we're making good progress."
The hotel is luxurious... expensive.,The hotel is luxurious but expensive.
The deadline is tight... confident we'll finish on time.,"The deadline is tight, but I'm confident we'll finish on time."
The phone is old... still works well.,"The phone is old, but it still works well."
It's a long drive... worth the trip.,"It's a long drive, but it's worth the trip."
The garden is beautiful... requires a lot of maintenance.,"The garden is beautiful, but it requires a lot of maintenance."
The store was closed... managed to find what I needed online.,"The store was closed, but I managed to find what I needed online."
She's a great cook... doesn't like to bake.,"She's a great cook, but she doesn't like to bake."
I'm tired... need to finish this work.,"I'm tired, but I need to finish this work."
The view was amazing... hard to reach the top.,"The view was amazing, but it was hard to reach the top."
1. Ain't no way I'm going to that party.,1. There's no way I'm going to that party.
"2. Imma gonna pick up some grub, ya hungry?","2. I'm going to pick up some food, are you hungry?"
3. She don't know nothing about them computers.,3. She doesn't know anything about those computers.
4. We was walking to the store when it started raining.,4. We were walking to the store when it started raining.
5. Me and him went to the movies last night.,5. He and I went to the movies last night.
6. Could you gimme some advice on this essay?,6. Could you give me some advice on this essay?
"7. You better not be late to the meeting, or else.","7. You should not be late to the meeting, or there will be consequences."
"8. The CPU's got 16 cores, which ain't bad.","8. The CPU has 16 cores, which isn't bad."
"9. He's a big ol' boy, ain't he?","9. He's a big boy, isn't he?"
10. Lemme know when you're ready to leave.,10. Let me know when you're ready to leave.
11. I dunno where the keys are.,11. I don't know where the keys are.
12. You got any idea how to fix this?,12. Do you have any idea how to fix this?
13. The new hire's a real whiz kid in Python coding.,13. The new hire is highly skilled in Python programming.
"14. My cellphone's battery is at 5%, I gotta charge it.","14. My cellphone's battery is at 5%, I need to charge it."
15. She's the kinda person who's always late.,15. She's the type of person who's always late.
16. They be doing the most to impress the boss.,16. They are always going above and beyond to impress the boss.
17. The photog took some great snaps at the wedding.,17. The photographer took some great photos at the wedding.
18. You oughta try this new sushi place.,18. You should try this new sushi place.
"19. The app's UX is kinda clunky, if you ask me.","19. The app's user experience is somewhat clunky, in my opinion."
20. He's gonna need a new hard drive for his comp.,20. He's going to need a new hard drive for his computer.
21. Can't you just chill for a sec?,21. Can't you just relax for a moment?
22. The client's server got a DDoS attack last night.,22. The client's server experienced a distributed denial-of-service attack last night.
23. The company's CEO is a real hardass.,23. The company's CEO is very strict.
24. I dunno if I can make it to the party tonight.,24. I don't know if I can make it to the party tonight.
25. They're gonna demo their new product at the expo.,25. They're going to demonstrate their new product at the expo.
26. You wanna grab some dinner later?,26. Do you want to have dinner later?
27. The plumber had to fix the busted pipe.,27. The plumber had to repair the broken pipe.
28. I gotta get this report done by tomorrow.,28. I have to finish this report by tomorrow.
29. That rollercoaster was hella fun!,29. That rollercoaster was extremely fun!
"30. I can't stand the cold, it's way too friggin' cold.","30. I can't stand the cold, it's much too cold."
31. They didn't do jack to help with the project.,31. They didn't do anything to help with the project.
32. She's been feeling kinda meh lately.,32. She's been feeling somewhat indifferent lately.
33. The cop gave him a ticket for speeding.,33. The police officer gave him a ticket for speeding.
34. The hacker used a zero-day exploit to compromise the system.,34. The hacker used an unknown vulnerability to compromise the system.
35. She's got mad skills on the basketball court.,35. She has exceptional skills on the basketball court.
36. I'm gonna head to the gym after work.,36. I'm going to the gym after work.
37. He's got a lot of irons in the fire right now.,37. He's currently involved in many projects.
38. The boss ain't gonna be happy about this.,38. The boss isn't going to be happy about this.
39. Can you send me the deets for the event?,39. Can you send me the details for the event?
40. The marketing team's gonna brainstorm some new ideas.,40. The marketing team is going to brainstorm some new ideas.
41. You shoulda seen the look on her face!,41. You should have seen the look on her face!
"42. My car's been acting up, gotta get it checked.","42. My car has been having issues, I need to get it checked."
43. He's been working on a top-secret government project.,43. He's been working on a classified government project.
44. The new intern's a total go-getter.,44. The new intern is highly motivated.
45. The chef cooked up some delish dishes.,45. The chef prepared some delicious dishes.
46. The athlete's been hitting the gym like crazy.,46. The athlete has been training intensely at the gym.
47. That movie was a total snoozefest.,47. That movie was extremely boring.
48. The IT guy had to come fix the glitchy software.,48. The IT specialist had to come repair the malfunctioning software.
49. He's got a knack for fixing busted tech.,49. He has a talent for repairing broken technology.
50. The artist's new album is gonna drop next week.,50. The artist's new album is going to be released next week.
He's at end of his rope.,He's at the end of his rope.
She got quick and the dead.,She was quick and the dead.
That's music my ears.,That's music to my ears.
She bite off more than chew.,She bit off more than she could chew.
Your guess good as mine.,Your guess is as good as mine.
You're barking the wrong tree.,You're barking up the wrong tree.
He's just tip of the iceberg.,He's just the tip of the iceberg.
He's trying to reinvent wheel.,He's trying to reinvent the wheel.
They putting all eggs one basket.,They are putting all their eggs in one basket.
You can't have cake eat it too.,You can't have your cake and eat it too.
He's burning candle both ends.,He's burning the candle at both ends.
She's apple of her father's eye.,She's the apple of her father's eye.
The team went back drawing board.,The team went back to the drawing board.
It's blessing disguise.,It's a blessing in disguise.
She's trying to find needle haystack.,She's trying to find a needle in a haystack.
You're comparing apples oranges.,You're comparing apples to oranges.
That's elephant room.,That's the elephant in the room.
They have axe grind.,They have an axe to grind.
Don't count chickens they hatch.,Don't count your chickens before they hatch.
He's chip off old block.,He's a chip off the old block.
We need think outside box.,We need to think outside the box.
He's dime a dozen.,He's a dime a dozen.
Actions louder than words.,Actions speak louder than words.
Opportunity knocks once.,Opportunity only knocks once.
I've got bigger fish fry.,I've got bigger fish to fry.
"It's six one, half dozen other.","It's six of one, half a dozen of the other."
It's best both worlds.,It's the best of both worlds.
She's caught between rock hard place.,She's caught between a rock and a hard place.
It's calm before storm.,It's the calm before the storm.
They're cutting their nose spite face.,They're cutting off their nose to spite their face.
He's devil's advocate.,He's playing devil's advocate.
He's adding fuel fire.,He's adding fuel to the fire.
He's giving cold shoulder.,He's giving her the cold shoulder.
It's hard nut crack.,It's a hard nut to crack.
He's hitting two birds stone.,He's hitting two birds with one stone.
They're jumping the bandwagon.,They're jumping on the bandwagon.
She's making mountain molehill.,She's making a mountain out of a molehill.
He's not sharpest tool shed.,He's not the sharpest tool in the shed.
It's raining cats dogs.,It's raining cats and dogs.
They're reading between lines.,They're reading between the lines.
He's taking bull horns.,He's taking the bull by the horns.
They're throwing baby bathwater.,They're throwing the baby out with the bathwater.
Time flies you fun.,Time flies when you're having fun.
He's turning blind eye.,He's turning a blind eye.
It's whole new ball game.,It's a whole new ball game.
That's wolf sheep's clothing.,That's a wolf in sheep's clothing.
He's wearing heart sleeve.,He's wearing his heart on his sleeve.
You can't judge book cover.,You can't judge a book by its cover.
"He works at FB, but I work at MS.","He works at Facebook, but I work at Microsoft."
My bro just joined the USMC yday.,My brother just joined the United States Marine Corps yesterday.
"I'll be there ASAP, pls wait.","I'll be there as soon as possible, please wait."
"She's a prof at UCLA, in the CS dept.","She's a professor at the University of California, Los Angeles, in the Computer Science department."
The engine has 200hp and 300lb-ft tq.,The engine has 200 horsepower and 300 pound-feet of torque.
"In the meeting, they discussed GDPR and CCPA cmp.","In the meeting, they discussed General Data Protection Regulation and California Consumer Privacy Act compliance."
"My new TV has HDMI, USB, and BT cnct.","My new TV has High-Definition Multimedia Interface, Universal Serial Bus, and Bluetooth connectivity."
The doc prescribed me NSAIDs for my pain.,The doctor prescribed me nonsteroidal anti-inflammatory drugs for my pain.
"The pkg was del'd by USPS, not UPS.","The package was delivered by United States Postal Service, not United Parcel Service."
Their business model involves B2B and B2C svs.,Their business model involves business-to-business and business-to-consumer services.
The H2O lvl in the tank is getting low.,The water level in the tank is getting low.
I think they use AI and ML in their app.,I think they use artificial intelligence and machine learning in their app.
"Plz send me the PDF, not the DOC file.","Please send me the Portable Document Format, not the Word Document file."
They're going to visit the MOMA nxt wk.,They're going to visit the Museum of Modern Art next week.
My fav band is playing at SXSW this yr.,My favorite band is playing at South by Southwest this year.
The atm in the mall is out of svc.,The automated teller machine in the mall is out of service.
"My phone has GPS, but it's not v accurate.","My phone has Global Positioning System, but it's not very accurate."
"I've been feeling v tired lately, IDK why.","I've been feeling very tired lately, I don't know why."
The govt is considering new reg's for CO2 ems.,The government is considering new regulations for carbon dioxide emissions.
"The org is a non-profit, it's a 501c3.","The organization is a non-profit, it's a 501(c)(3)."
I need to buy a new SSD for my cmp.,I need to buy a new solid-state drive for my computer.
The CPU and GPU of the sys are quite powerful.,The central processing unit and graphics processing unit of the system are quite powerful.
I'll be traveling to the UK and the EU nxt mth.,I'll be traveling to the United Kingdom and the European Union next month.
He'll be attending the conf on IoT and 5G tech.,He'll be attending the conference on the Internet of Things and 5G technology.
The recipe calls for 1tsp of salt and 2tbsp of sugar.,The recipe calls for 1 teaspoon of salt and 2 tablespoons of sugar.
The car's fuel eff is rated at 35mpg on hwy.,The car's fuel efficiency is rated at 35 miles per gallon on the highway.
The new OS update includes many UX/UI impr.,The new operating system update includes many user experience/user interface improvements.
The article was pub'd in the NYT last wk.,The article was published in the New York Times last week.
The rpt states that GDP growth has slowed.,The report states that gross domestic product growth has slowed.
The sci study focused on DNA and RNA strc.,The scientific study focused on deoxyribonucleic acid and ribonucleic acid structures.
"She's a great actr, she won an Oscar last yr.","She's a great actress, she won an Academy Award last year."
They're launching a new SaaS product nxt qtr.,They're launching a new Software as a Service product next quarter.
The avg temp in the city is 75°F in the sum.,The average temperature in the city is 75 degrees Fahrenheit in the summer.
He's an expert in SEO and SEM strat.,He's an expert in search engine optimization and search engine marketing strategies.
The team is focusing on R&D for the proj.,The team is focusing on research and development for the project.
The UN has declared a new initiative for SDGs.,The United Nations has declared a new initiative for Sustainable Development Goals.
The hotel offers free Wi-Fi and a cont'l bfast.,The hotel offers free wireless internet and a continental breakfast.
The ct scan revealed no abnormalities.,The computed tomography scan revealed no abnormalities.
The pkg includes a tkt to the theme park and htl stay.,The package includes a ticket to the theme park and hotel stay.
The stm't from the CEO addressed the recent prblms.,The statement from the chief executive officer addressed the recent problems.
"My flight was del'd, so I'll arr late.","My flight was delayed, so I'll arrive late."
The co is implementing new CSR policies.,The company is implementing new corporate social responsibility policies.
She's a memb of the PTA at her child's school.,She's a member of the Parent-Teacher Association at her child's school.
The weather rpt calls for rain tmrw.,The weather report calls for rain tomorrow.
The doc will perform an MRI to check for any issues.,The doctor will perform a magnetic resonance imaging to check for any issues.
"The smrtph has a 5.5"" OLED display.",The smartphone has a 5.5-inch organic light-emitting diode display.
The new bldg will be LEED certified.,The new building will be Leadership in Energy and Environmental Design certified.
The recipe calls for 1lb of grd beef.,The recipe calls for 1 pound of ground beef.
The new law will be eff from Jan 1st.,The new law will be effective from January 1st.
The fin'l stmnts must be audited by a CPA.,The financial statements must be audited by a Certified Public Accountant.
"It's door is locked, we can't get in.","Its door is locked, we can't get in."
I don't know where it's key is.,I don't know where its key is.
She's phone is out of battery.,Her phone is out of battery.
"He's a doctor, but he's patients don't like him.","He's a doctor, but his patients don't like him."
Their's a new movie coming out this week.,There's a new movie coming out this week.
It's not easy to decide which's the best option.,It's not easy to decide which is the best option.
They're dog has been missing since yesterday.,Their dog has been missing since yesterday.
The company is known for it's innovations.,The company is known for its innovations.
"That's a nice shirt, where did you get it's design?","That's a nice shirt, where did you get its design?"
"I can't find my wallet, it's owner must be worried.","I can't find my wallet, its owner must be worried."
"We're going to the park, but their's no parking nearby.","We're going to the park, but there's no parking nearby."
It's color is fading after multiple washes.,Its color is fading after multiple washes.
The cat hurt it's paw while climbing the tree.,The cat hurt its paw while climbing the tree.
She's book is on the table.,Her book is on the table.
The flowers in the garden lost they're color.,The flowers in the garden lost their color.
"The computer has a virus, it's system is slow.","The computer has a virus, its system is slow."
He's car needs a new engine.,His car needs a new engine.
The restaurant is known for they're pizza.,The restaurant is known for their pizza.
"The movie was great, but it's ending was sad.","The movie was great, but its ending was sad."
She's job is to manage the team's schedule.,Her job is to manage the team's schedule.
"They're house is beautiful, but it's location is far.","Their house is beautiful, but its location is far."
"I borrowed Tom's bike, it's tires were flat.","I borrowed Tom's bike, its tires were flat."
She's shoes are the latest fashion.,Her shoes are the latest fashion.
"The plant needs water, it's leaves are wilting.","The plant needs water, its leaves are wilting."
"The phone's battery is low, it's screen is dim.","The phone's battery is low, its screen is dim."
"The cake's taste was amazing, but it's texture was dry.","The cake's taste was amazing, but its texture was dry."
The team lost they're motivation after the loss.,The team lost their motivation after the loss.
Their's a problem with the computer's software.,There's a problem with the computer's software.
"The car has a dent, it's value has decreased.","The car has a dent, its value has decreased."
"The city's infrastructure needs improvement, it's roads are damaged.","The city's infrastructure needs improvement, its roads are damaged."
Her's idea was innovative and successful.,Her idea was innovative and successful.
"The library is quiet, it's atmosphere is perfect for studying.","The library is quiet, its atmosphere is perfect for studying."
"The school's reputation has improved, it's ranking is higher.","The school's reputation has improved, its ranking is higher."
He's watch is expensive and luxurious.,His watch is expensive and luxurious.
She's earrings are made of gold.,Her earrings are made of gold.
"The company's policies are strict, they're employees must follow them.","The company's policies are strict, their employees must follow them."
"The phone's camera is impressive, it's pictures are high quality.","The phone's camera is impressive, its pictures are high quality."
The artist is famous for they're unique style.,The artist is famous for their unique style.
"The robot's programming is advanced, it's abilities are impressive.","The robot's programming is advanced, its abilities are impressive."
"The mountain's peak is covered in snow, it's view is breathtaking.","The mountain's peak is covered in snow, its view is breathtaking."
"The dog's fur is soft, it's coat is well-groomed.","The dog's fur is soft, its coat is well-groomed."
"The sun's rays are strong, they're making the day hot.","The sun's rays are strong, they're making the day hot."
"The software has a bug, it's performance is slow.","The software has a bug, its performance is slow."
"The store's sale is popular, they're discounts are great.","The store's sale is popular, their discounts are great."
Their's no denying that the Earth is round.,There's no denying that the Earth is round.
She's hair is long and curly.,Her hair is long and curly.
"The bird's song is beautiful, it's melody is soothing.","The bird's song is beautiful, its melody is soothing."
"The recipe's secret ingredient is cinnamon, it's flavor is unique.","The recipe's secret ingredient is cinnamon, its flavor is unique."
"The project's deadline is approaching, they're team is working hard.","The project's deadline is approaching, their team is working hard."
The man which bought the car was happy.,The man who bought the car was happy.
The cake I ate it for dessert was delicious.,The cake I ate for dessert was delicious.
I met a woman has three dogs.,I met a woman who has three dogs.
This is the book I told you about.,This is the book that I told you about.
"The cookies, I baked them yesterday, are all gone.",The cookies that I baked yesterday are all gone.
People live in the city are usually busy.,People who live in the city are usually busy.
The table I bought it last week is damaged.,The table that I bought last week is damaged.
She's the teacher teaches math at our school.,She's the teacher who teaches math at our school.
The store which sells electronics is closing down.,The store that sells electronics is closing down.
I have a friend is a doctor.,I have a friend who is a doctor.
The movie we watched yesterday was boring.,The movie that we watched yesterday was boring.
The artist paintings are in the gallery is very talented.,The artist whose paintings are in the gallery is very talented.
The car I sold it last year was my favorite.,The car that I sold last year was my favorite.
The conference people were discussing climate change ended yesterday.,The conference where people were discussing climate change ended yesterday.
The hotel I stayed in it had great service.,The hotel where I stayed had great service.
The phone which I found on the street belongs to Sarah.,The phone that I found on the street belongs to Sarah.
The dress she wore it to the party was stunning.,The dress that she wore to the party was stunning.
The restaurant we ate dinner is famous for its seafood.,The restaurant where we ate dinner is famous for its seafood.
"My brother, works at the bank, is visiting tomorrow.","My brother, who works at the bank, is visiting tomorrow."
The book I'm reading it is about mindfulness.,The book that I'm reading is about mindfulness.
The building the construction site is very tall.,The building at the construction site is very tall.
The person I talked to him on the phone was very helpful.,The person to whom I talked on the phone was very helpful.
The computer I'm using it for work needs an upgrade.,The computer that I'm using for work needs an upgrade.
The museum exhibits ancient artifacts is in London.,The museum that exhibits ancient artifacts is in London.
The town I grew up is small and quiet.,The town where I grew up is small and quiet.
The company I work for it has a great benefits package.,The company for which I work has a great benefits package.
The actor won an award is known for his versatility.,The actor who won an award is known for his versatility.
The shoes she bought them last month are already worn out.,The shoes that she bought last month are already worn out.
The bike which I ride to work is green.,The bike that I ride to work is green.
The cafe I had breakfast was cozy.,The cafe where I had breakfast was cozy.
The team I support it is from my hometown.,The team that I support is from my hometown.
The flowers I planted them last spring have bloomed.,The flowers that I planted last spring have bloomed.
The author book I'm reading is from Ireland.,The author whose book I'm reading is from Ireland.
The meeting will be held at the office has a large conference room.,The meeting will be held at the office that has a large conference room.
"The bus, I take it every day, was late this morning.",The bus that I take every day was late this morning.
The girl found the lost puppy was very kind.,The girl who found the lost puppy was very kind.
The store I bought the shirt is having a sale.,The store where I bought the shirt is having a sale.
The recipe I tried it last night was delicious.,The recipe that I tried last night was delicious.
The park people play soccer is near my house.,The park where people play soccer is near my house.
The mechanic fixed my car is very skilled.,The mechanic who fixed my car is very skilled.
The magazine I subscribed to it is about photography.,The magazine that I subscribed to is about photography.
The city I visited last summer has beautiful architecture.,The city that I visited last summer has beautiful architecture.
The shirt I spilled coffee on it is ruined.,The shirt on which I spilled coffee is ruined.
The concert we went to it last night was amazing.,The concert that we went to last night was amazing.
The college my sister attends it has a beautiful campus.,The college that my sister attends has a beautiful campus.
The machine I'm using it at the gym is broken.,The machine that I'm using at the gym is broken.
The apartment I live in it has a great view.,The apartment where I live has a great view.
The company the job offer came from is well-known.,The company from which the job offer came is well-known.
The park I walk my dog is just down the street.,The park where I walk my dog is just down the street.
The phone I dropped it in water is no longer working.,The phone that I dropped in water is no longer working.
The beach we went to it last weekend was crowded.,The beach that we went to last weekend was crowded.
He decided to quickly finish his homework.,He decided to finish his homework quickly.
She wants to in the future study computer science.,She wants to study computer science in the future.
I'm going to not eat junk food anymore.,I'm not going to eat junk food anymore.
We need to completely revise our marketing strategy.,We need to revise our marketing strategy completely.
They hope to soon launch a new product.,They hope to launch a new product soon.
"To safely store the chemicals, use airtight containers.","To store the chemicals safely, use airtight containers."
She aspires to professionally become a dancer.,She aspires to become a professional dancer.
The architect planned to creatively design the building.,The architect planned to design the building creatively.
They're trying to efficiently manage their time.,They're trying to manage their time efficiently.
He always forgets to carefully proofread his essays.,He always forgets to proofread his essays carefully.
The scientist aimed to accurately record all the data.,The scientist aimed to record all the data accurately.
She wanted to gracefully perform on stage.,She wanted to perform on stage gracefully.
The mechanic advised to regularly check the oil levels.,The mechanic advised to check the oil levels regularly.
The teacher told us to actively participate in class.,The teacher told us to participate actively in class.
"To successfully complete the project, we need more resources.","To complete the project successfully, we need more resources."
The chef tried to perfectly cook the steak.,The chef tried to cook the steak perfectly.
The manager asked to promptly submit our reports.,The manager asked to submit our reports promptly.
He plans to eventually write a book about his travels.,He plans to write a book about his travels eventually.
She wanted to privately speak with her supervisor.,She wanted to speak privately with her supervisor.
The athlete aimed to continuously improve his performance.,The athlete aimed to improve his performance continuously.
The gardener decided to systematically water the plants.,The gardener decided to water the plants systematically.
"To thoroughly clean the house, we hired a professional.","To clean the house thoroughly, we hired a professional."
The tourists wanted to leisurely explore the city.,The tourists wanted to explore the city leisurely.
The director instructed to subtly change the scene.,The director instructed to change the scene subtly.
He promised to immediately call when he arrived.,He promised to call immediately when he arrived.
The author tried to eloquently express her thoughts.,The author tried to express her thoughts eloquently.
She decided to permanently delete her social media accounts.,She decided to delete her social media accounts permanently.
He asked her to slowly explain the process.,He asked her to explain the process slowly.
The driver decided to cautiously navigate the icy road.,The driver decided to navigate the icy road cautiously.
"To effectively communicate, listen carefully to others.","To communicate effectively, listen carefully to others."
The team wanted to collectively make a decision.,The team wanted to make a decision collectively.
He aimed to dramatically improve his grades.,He aimed to improve his grades dramatically.
The company decided to strategically invest in new ventures.,The company decided to invest strategically in new ventures.
She tried to persuasively argue her point.,She tried to argue her point persuasively.
The artist wanted to uniquely express himself.,The artist wanted to express himself uniquely.
"To efficiently use energy, turn off lights when not in use.","To use energy efficiently, turn off lights when not in use."
The speaker tried to clearly convey his message.,The speaker tried to convey his message clearly.
She advised to always think positively.,She advised to think always positively.
The hikers decided to gradually climb the mountain.,The hikers decided to climb the mountain gradually.
"To properly dispose of waste, use the recycling bins.","To dispose of waste properly, use the recycling bins."
The students aimed to collaboratively work on the project.,The students aimed to work collaboratively on the project.
She told him to quietly enter the room.,She told him to enter the room quietly.
The photographer wanted to artistically capture the scene.,The photographer wanted to capture the scene artistically.
The coach instructed to aggressively play defense.,The coach instructed to play defense aggressively.
The company needed to rapidly adapt to the market changes.,The company needed to adapt rapidly to the market changes.
He decided to strongly voice his opinion.,He decided to voice his opinion strongly.
The researchers aimed to objectively analyze the data.,The researchers aimed to analyze the data objectively.
She wanted to passionately advocate for her cause.,She wanted to advocate passionately for her cause.
"To securely store your passwords, use a password manager.","To store your passwords securely, use a password manager."
I enjoy to read books.,I enjoy reading books.
She is exciting about the trip.,She is excited about the trip.
He is interested on learning Spanish.,He is interested in learning Spanish.
The children were so bore at the museum.,The children were so bored at the museum.
He is talented for playing the guitar.,He is talented at playing the guitar.
The scientist studied the organism's adapt to their environment.,The scientist studied the organisms' adaptation to their environment.
The project was cancel due to a lack of funding.,The project was canceled due to a lack of funding.
He was annoy by the constant noise.,He was annoyed by the constant noise.
The athlete's success was attributable to his dedicate to his training.,The athlete's success was attributable to his dedication to his training.
It's essential to brush your teeth twice a day for prevent cavities.,It's essential to brush your teeth twice a day to prevent cavities.
I prefer cook at home instead of eating out.,I prefer cooking at home instead of eating out.
He was disappoint with his exam results.,He was disappointed with his exam results.
"The rain caused the street to flood, result in a traffic jam.","The rain caused the street to flood, resulting in a traffic jam."
She is obsessed with collect vintage clothing.,She is obsessed with collecting vintage clothing.
The journalist was criticized for misrepresent the facts.,The journalist was criticized for misrepresenting the facts.
I appreciate your help with organize the event.,I appreciate your help with organizing the event.
The company is committed to reduce its carbon footprint.,The company is committed to reducing its carbon footprint.
The teacher was impressed by the student's improve in math.,The teacher was impressed by the student's improvement in math.
I am look forward to meet you in person.,I am looking forward to meeting you in person.
The dog was punished for chew the furniture.,The dog was punished for chewing the furniture.
The politician was accused of corrupt and bribery.,The politician was accused of corruption and bribery.
The girl was embarass to admit she had never seen the movie.,The girl was embarrassed to admit she had never seen the movie.
The boy's parents were concerned about his frequent lying.,The boy's parents were concerned about his frequent lies.
The manager had a reputation for being very demand.,The manager had a reputation for being very demanding.
The team was congratulate on their victory.,The team was congratulated on their victory.
The artist is known for his innovate use of color.,The artist is known for his innovative use of color.
The company's sales have been decline in recent months.,The company's sales have been declining in recent months.
I am sorry for disturb you at this late hour.,I am sorry for disturbing you at this late hour.
She had a difficult time make a decision.,She had a difficult time making a decision.
The students were instructed to proofread their papers for avoid errors.,The students were instructed to proofread their papers to avoid errors.
The broken window was a result of the children's careless play.,The broken window was a result of the children's careless playing.
They are considering to move to a new city for better job opportunities.,They are considering moving to a new city for better job opportunities.
The movie was criticize for its lack of character development.,The movie was criticized for its lack of character development.
The athlete was disqualify for using performance-enhancing drugs.,The athlete was disqualified for using performance-enhancing drugs.
The company's success was due to its invest in new technologies.,The company's success was due to its investment in new technologies.
The parents were worried about their child's safety on the playground.,The parents were worried about their child's safe play on the playground.
The chef's signature dish is made by roast vegetables and herbs.,The chef's signature dish is made by roasting vegetables and herbs.
The students were encourage to ask questions during the lecture.,The students were encouraged to ask questions during the lecture.
The police officer's quick think saved the hostage's life.,The police officer's quick thinking saved the hostage's life.
The flowers in the garden were wilt due to the heat.,The flowers in the garden were wilting due to the heat.
The book's success was due to the author's unique write style.,The book's success was due to the author's unique writing style.
The traveler was amaze by the beauty of the landscape.,The traveler was amazed by the beauty of the landscape.
The doctor advised the patient to quit smoke.,The doctor advised the patient to quit smoking.
The company was fined for pollute the river.,The company was fined for polluting the river.
The engineer's primary responsibility was to design the bridge.,The engineer's primary responsibility was designing the bridge.
I apologize for any inconvenience my mistake may have cause.,I apologize for any inconvenience my mistake may have caused.
The soccer player was injure during the game.,The soccer player was injured during the game.
The politician's speech was focused on promote unity.,The politician's speech was focused on promoting unity.
The architect's bold vision led to the creation of a beautiful building.,The architect's bold vision led to creating a beautiful building.
The company's management was criticized for their lack of communicate with employees.,The company's management was criticized for their lack of communication with employees.
"She enjoys swimming, to dance, and reading books.","She enjoys swimming, dancing, and reading books."
"To become a doctor, you need to study hard, be patient, and having good communication skills.","To become a doctor, you need to study hard, be patient, and have good communication skills."
"John's hobbies include playing soccer, cooking delicious meals, and to travel the world.","John's hobbies include playing soccer, cooking delicious meals, and traveling the world."
"The report is comprehensive, clear, and provided valuable insights.","The report is comprehensive, clear, and provides valuable insights."
"She was tired, hungry, and feeling cold.","She was tired, hungry, and cold."
"The job requires strong analytical skills, attention to detail, and being a good team player.","The job requires strong analytical skills, attention to detail, and good team player abilities."
"The team needs to research, organize, and presenting their findings.","The team needs to research, organize, and present their findings."
"The conference will cover topics such as artificial intelligence, data analysis, and to improve cybersecurity.","The conference will cover topics such as artificial intelligence, data analysis, and improving cybersecurity."
"He wants to learn how to play the guitar, speaking French, and cooking gourmet meals.","He wants to learn how to play the guitar, speak French, and cook gourmet meals."
"She is passionate about teaching, to inspire, and helping students succeed.","She is passionate about teaching, inspiring, and helping students succeed."
"The meeting was productive, informative, and included brainstorming sessions.","The meeting was productive, informative, and included brainstorming sessions."
"The artist's work is creative, thought-provoking, and to evoke emotions.","The artist's work is creative, thought-provoking, and evokes emotions."
"The software allows users to edit images, create designs, and sharing their work.","The software allows users to edit images, create designs, and share their work."
"The cake was delicious, moist, and decorated beautifully.","The cake was delicious, moist, and beautifully decorated."
"His responsibilities include managing the team, budgeting, and to oversee projects.","His responsibilities include managing the team, budgeting, and overseeing projects."
"The class will teach students to think critically, to analyze data, and solve problems.","The class will teach students to think critically, analyze data, and solve problems."
"The hotel provides comfortable rooms, delicious food, and offering various amenities.","The hotel provides comfortable rooms, delicious food, and offers various amenities."
